startphrase,ending1,ending2,labels,qid
The strategy be Whipped cream on coffee ,The strategy be bad ,The strategy be good in an extra way . ,1,X517
The strawberry taste like A Dasani water ,The strawberry taste blandly and badly . ,The strawberry taste really good . ,0,X518
The strawberry taste like A rainbow ,The strawberry taste blandly and badly . ,The strawberry taste really good . ,1,X518
The date be Like be hit by lightning ,The date be painfully bad ,The date be good . ,0,X519
The date be Like the first sip of coffee ,The date be painfully bad ,The date be good . ,1,X519
The dog bark as loud as a train ,The dog be loud ,Thendog be quiet ,0,X520
The dog bark as loud as an ant ,The dog be loud ,Thendog be quiet ,1,X520
The fishtank be as big as a house ,The fishtank be large ,The fishtank be small ,0,X521
The fishtank be as big as a pill box ,The fishtank be large ,The fishtank be small ,1,X521
The flower smell as good as a skunk ,The flower smell bad ,The flower smell good ,0,X522
The flower smell as good as a bakery ,The flower smell bad ,The flower smell good ,1,X522
I be as emotional as a kid see Santa . ,I be excite . ,I be scream and angry . ,0,X523
I be as emotional as a person who just step on a lego . ,I be excite . ,I be scream and angry . ,1,X523
The cloud be like marshmellows ,The cloud be very fluffy and white . ,The cloud be very big . ,0,X524
The cloud be as big as a house ,The cloud be very fluffy and white . ,The cloud be very big . ,1,X524
The woman be as pale as a wall . ,The woman be very white . ,The woman eat really fast . ,0,X525
The woman ate as fast as a grow boy . ,The woman be very white . ,The woman eat really fast . ,1,X525
The man have the emotional intelligence of a rock ,The man be socially awkward ,The man be socially adept ,0,X526
The man have the emotional intelligence of an empath ,The man be socially awkward ,The man be socially adept ,1,X526
The song have the emotional depth of a nursery rhyme ,The song be trite ,The song be move ,0,X527
The song have the emotional depth of a final farewell ,The song be trite ,The song be move ,1,X527
The air be like a placid pont ,The air be still ,The air be frenzied ,0,X528
The air be like a whirling dervish ,The air be still ,The air be frenzied ,1,X528
The strategy of the enemy be that of A desperate criminal on the run ,The enemy strategy be poor and sporadic ,The enemy strategy be excellent and well plan ,0,X529
The strategy of the enemy be that of A mastermind like a desert fox ,The enemy strategy be poor and sporadic ,The enemy strategy be excellent and well plan ,1,X529
The air in the compartment be like that of A dirty clothes hamper ,The air be not fresh and smelly ,The air be fresh and clean ,0,X530
The air in the compartment be like that of A morning breeze on the plain ,The air be not fresh and smelly ,The air be fresh and clean ,1,X530
The emotional level at the game be like that of A boring funeral ,The game be boring and unexciting ,The game be excite and action pack ,0,X531
The emotional level at the game be like that of A constant standing ovation ,The game be boring and unexciting ,The game be excite and action pack ,1,X531
The cat have the energy of a nuclear power plant ,The cat be energetic ,The cat be not energetic ,0,X532
The cat have the energy of a comatose person ,The cat be energetic ,The cat be not energetic ,1,X532
The train be as reliable as old faithful . ,The train be reliable . ,The train be unreliable . ,0,X533
The train be as reliable as a back alley drug addict . ,The train be reliable . ,The train be unreliable . ,1,X533
The air be as fresh as a spring breeze in the morning . ,The air be fresh ,The air be stale . ,0,X534
The air be as fresh as a dumpster fire . ,The air be fresh ,The air be stale . ,1,X534
The feeling in the air be as emotional as a corpse ,The feeling in the air be non existent there be none . ,The feeling in the air be very emotional ,0,X535
The feeling in the air be as emotional as a wedding ,The feeling in the air be non existent there be none . ,The feeling in the air be very emotional ,1,X535
Her strategy be as complicate as a nursery rhyme ,Her strategy be not complex or in depth ,Her strategy be very complicated ,0,X536
Her strategy be as complicate as a calculus equation ,Her strategy be not complex or in depth ,Her strategy be very complicated ,1,X536
The airplane leg room be as big as a apartment in Manhattan ,The airplane have almost no leg room ,The airplane have a ton of leg room ,0,X537
The airplane leg room be as big as the sea ,The airplane have almost no leg room ,The airplane have a ton of leg room ,1,X537
This toy be as action pack as Spider man before he be bite ,The toy be not action pack ,The toy be action pack ,0,X538
This toy be as action pack as The avenger when theyre all together ,The toy be not action pack ,The toy be action pack ,1,X538
That car be as fast as A sloth climb a tree ,The car be slow ,The car be fast ,0,X539
That car be as fast as My dog when they hear the treat open ,The car be slow ,The car be fast ,1,X539
The water be as cold as A bucket of frozen ice ,The water be very cold ,The water be warm ,0,X540
The water be as cold as A sauna in the summer ,The water be very cold ,The water be warm ,1,X540
The article be as clear as day ,The article be easy to understand ,The article be hard to understand ,0,X541
The article be as clear as night ,The article be easy to understand ,The article be hard to understand ,1,X541
The farmer be as busy as a bee ,The farmer be busy ,The farmer be not busy ,0,X542
The farmer be as busy as a sloth ,The farmer be busy ,The farmer be not busy ,1,X542
The dog be as a lazy as a bee ,The dog be busy ,The dog be lazy ,0,X543
The dog be as a lazy as a sloth ,The dog be busy ,The dog be lazy ,1,X543
Sleeping over at his house be like spend a night at the Waldorf Astoria . ,He have very nice accommodation . ,He have below average accommodation . ,0,X544
Sleeping over at his house be like spend a night at the Motel 6 . ,He have very nice accommodation . ,He have below average accommodation . ,1,X544
When she wait on you she 'll make you feel like the Sultan of Brunei.Ask him tio ,She provide good service . ,She provide bad service . ,0,X545
When she wait on you she 'll make you feel like she do you a favor . ,She provide good service . ,She provide bad service . ,1,X545
Ask him to complete a task and he move like a bullet train . ,He work quickly . ,He work slowly . ,0,X546
Ask him to complete a task and he move like molasses . ,He work quickly . ,He work slowly . ,1,X546
The new toy be as safe as a sharp razor ,The new toy be not safe ,The new toy be safe ,0,X547
The new toy be as safe as a pillow ,The new toy be not safe ,The new toy be safe ,1,X547
The formula be as secret as Coca Cola recipe ,The formula be secret ,The formula be not secret ,0,X548
The formula be as secret as the time table ,The formula be secret ,The formula be not secret ,1,X548
The new dish taste like aquarium water ,The new dish taste bad ,The new dish taste good ,0,X549
The new dish taste like a five star meal ,The new dish taste bad ,The new dish taste good ,1,X549
The girlfriend anger be a shaken bottle of soda ,The girlfriend anger would explode if open ; a matter of when not if ,The girlfriend anger be dormant and impossible to awake ,0,X550
The girlfriend anger be a corpse ,The girlfriend anger would explode if open ; a matter of when not if ,The girlfriend anger be dormant and impossible to awake ,1,X550
The soldier on the battlefield be a roaring lion ,The solider show no fear and inspire his fellow troop ,The solider show fear and cowardice ,0,X551
The soldier on the battlefield be a newborn puppy ,The solider show no fear and inspire his fellow troop ,The solider show fear and cowardice ,1,X551
The student be summon in front of the class as a scapegoat ,The student be be use as an example of wrongdoing and as be a problem ,The student be be use as an example of standard to uphold and achieve ,0,X552
The student be summon in front of the class as a role model ,The student be be use as an example of wrongdoing and as be a problem ,The student be be use as an example of standard to uphold and achieve ,1,X552
This computer be No more than a toy ,The computer be mediocre ,The computer be be very well design and of high quality ,0,X553
This computer be A fastidiously sculpt machine ,The computer be mediocre ,The computer be be very well design and of high quality ,1,X553
The pool Is a sewage system ,The pool be very filthy ,The pool be dry ,0,X554
The pool Is a desert ,The pool be very filthy ,The pool be dry ,1,X554
That cat run as A cheetah ,The cat be very quick ,The cat be very sluggish ,0,X555
That cat run as A sloth ,The cat be very quick ,The cat be very sluggish ,1,X555
The toy be as exciting as roadkill ,it be lame ,it be amaze ,0,X556
The toy be as exciting as a Christmas morning ,it be lame ,it be amaze ,1,X556
The enemy be as clever as a legless roach ,it be dumb ,it be smart ,0,X557
The enemy be as clever as a fox near chicken ,it be dumb ,it be smart ,1,X557
The formula be as complicate as the U.S. Economy ,it be complex ,it be simple ,0,X558
The formula be as complicate as tic tac toe ,it be complex ,it be simple ,1,X558
The car have the speed of a rock ,The car be slow ,The car be fast ,0,X559
The car have the speed of a satellite ,The car be slow ,The car be fast ,1,X559
The painter have the touch of an elephant ,The painter be not talented ,The painter be very talented ,0,X560
The painter have the touch of a hummingbird ,The painter be not talented ,The painter be very talented ,1,X560
The perfume smell be akin to an oil spill ,The perfume smell bad ,The perfume smell wonderful ,0,X561
The perfume smell be akin to a warm day in April ,The perfume smell bad ,The perfume smell wonderful ,1,X561
The ground be as hard as diamond ,The ground be really hard to dig through . ,The ground be really soft to dig through . ,0,X562
The ground be as hard as paper ,The ground be really hard to dig through . ,The ground be really soft to dig through . ,1,X562
Their style be as good as Guuci ,Their style be very high quality and nice . ,Their style be cheap and bad . ,0,X563
Their style be as good as Walmart ,Their style be very high quality and nice . ,Their style be cheap and bad . ,1,X563
The tale be as long as War and Peace ,The tale length be really long . ,The tale length be really short . ,0,X564
The tale be as long as Dr. Seuss ,The tale length be really long . ,The tale length be really short . ,1,X564
The car have all the style of a tractor ,The car be plain ,The car be stylish ,0,X565
The car have all the style of a fashionista ,The car be plain ,The car be stylish ,1,X565
The tale have all the drama of a Sunday Mass ,The tale be tedious ,The tale be excite ,0,X566
The tale have all the drama of a drag race ,The tale be tedious ,The tale be excite ,1,X566
The ground have the firmness of a waterbed ,The ground be soft ,The ground be hard ,0,X567
The ground have the firmness of a slab of oak ,The ground be soft ,The ground be hard ,1,X567
The tale be as silly as a sexy clown jump out of a cake ,The take be quite silly ,The tale be quite serious ,0,X568
The tale be as silly as a clown battling cancer ,The take be quite silly ,The tale be quite serious ,1,X568
The ball bounce as high as an astronaut break free od the atmosphere ,The ball bounce very high ,The ball do not at all go high ,0,X569
The ball bounce as high as an astronaut sinking to the bottom of the ocean ,The ball bounce very high ,The ball do not at all go high ,1,X569
The tub be as dry as the wit of an older British gentleman ,The tub be very dry ,The tub be very wet ,0,X570
The tub be as dry as the Amazon on any day of week ,The tub be very dry ,The tub be very wet ,1,X570
One life be a novel ,One life be a novel with finite chapter include a beginning middle and end ,One life be vast as outer space as we 'll never know the extent our life influence that of another ,0,X571
One life be a space ,One life be a novel with finite chapter include a beginning middle and end ,One life be vast as outer space as we 'll never know the extent our life influence that of another ,1,X571
Relationships be like a coin toss ,Relationships be either a hit or a miss keep playing and you 'll win and keep the outcome ,No matter how much you pour into a relationship some be always waste ,0,X572
Relationships be like a cup with a hole ,Relationships be either a hit or a miss keep playing and you 'll win and keep the outcome ,No matter how much you pour into a relationship some be always waste ,1,X572
Being tire be a greeting home ,Being tire an individual know that once they finish peace will follow ,Being tire one forgets about other aspect of life and only seek rest even final ,0,X573
Being tire be a suffocate blanket ,Being tire an individual know that once they finish peace will follow ,Being tire one forgets about other aspect of life and only seek rest even final ,1,X573
She have the style of Coco Chanel ,She be stylish ,She be not stylish ,0,X574
She have the style of a hobo ,She be stylish ,She be not stylish ,1,X574
He be as ground as a mighty oak ,He be ground and sensible ,He be ungrounded and mercurial ,0,X575
He be as ground as a sparrow ,He be ground and sensible ,He be ungrounded and mercurial ,1,X575
She cut a piece of pie from the tin like a toothpick ,The piece of pie be small ,The piece of pie be huge ,0,X576
She cut a piece of pie from the tin like a barn door ,The piece of pie be small ,The piece of pie be huge ,1,X576
He shake like a saltshaker . ,He shake a lot . ,He do not shake at all . ,0,X577
He shake like a rock . ,He shake a lot . ,He do not shake at all . ,1,X577
His hair be thick like a bush . ,His hair be very thick . ,His hair be thin . ,0,X578
His hair be thick like a needle . ,His hair be very thick . ,His hair be thin . ,1,X578
It be sharp like a pin . ,It be very sharp . ,It be not sharp at all . ,0,X579
It be sharp like a eraser . ,It be very sharp . ,It be not sharp at all . ,1,X579
The discussion be as juicy as an orange ,The discussion be very juicy . ,The discussion be very dry . ,0,X580
The discussion be as juicy as sandpaper ,The discussion be very juicy . ,The discussion be very dry . ,1,X580
The woman eye be as wide as fruit bowl ,The woman eye be open very wide . ,The woman eye be not wide at all . ,0,X581
The woman eye be as wide as pin ,The woman eye be open very wide . ,The woman eye be not wide at all . ,1,X581
The woman keep her home as cozy as a bowl of ice cream ,The woman home be not cozy at all . ,The woman home be very cozy . ,0,X582
The woman keep her home as cozy as a bowl of chicken soup ,The woman home be not cozy at all . ,The woman home be very cozy . ,1,X582
The tale be as old as The crumb in the toaster ,The tale be old . ,The tale be new ,0,X583
The tale be as old as A newborn kitten ,The tale be old . ,The tale be new ,1,X583
The style be Like a used trash bag ,The style be date and bad ,The style be fresh and good . ,0,X584
The style be Like dew on a spring flower ,The style be date and bad ,The style be fresh and good . ,1,X584
The ground have the hardness of A lead pipe ,The ground be hard ,The ground be soft ,0,X585
The ground have the hardness of Cotton candy ,The ground be hard ,The ground be soft ,1,X585
The person look like a plastic dumpster fire . ,The person look like a smelly toxic mess . ,The person look like a fresh nice smell guy . ,0,X586
The person look like a fresh cut bouquet of rose . ,The person look like a smelly toxic mess . ,The person look like a fresh nice smell guy . ,1,X586
The TV Show have the maturity of a teenager who be try to ask their crush out on a date . ,The TV show be very immature . ,The TV show be very mature and wise . ,0,X587
The TV Show have the maturity of a doctor on his 25th year of practice medicine . ,The TV show be very immature . ,The TV show be very mature and wise . ,1,X587
The neighborhood have the look of a mange cover 3 legged dog . ,The neighborhood look dirty and dysfunctional . ,The neighborhood look very neat and clean . ,0,X588
The neighborhood have the look of a freshly clean set of laundry . ,The neighborhood look dirty and dysfunctional . ,The neighborhood look very neat and clean . ,1,X588
The professor voice be that of a dementia patient ,The professor talk very slow ,The professor talk very fast ,0,X589
The professor voice be that of a auctioneer ,The professor talk very slow ,The professor talk very fast ,1,X589
His jumpshot be broke ,His jumpshot be good ,His jumpshot be bad ,0,X590
His jumpshot be clean ,His jumpshot be good ,His jumpshot be bad ,1,X590
His spiral be that of a bullet ,His football passing skill be very good . ,His football passing skill be bad . ,0,X591
His spiral be that of a cotton ball ,His football passing skill be very good . ,His football passing skill be bad . ,1,X591
This person be a honey badger ,This person be vicious and mean ,This person be harmless and sweet ,0,X592
This person be a newborn puppy ,This person be vicious and mean ,This person be harmless and sweet ,1,X592
People of my culture be like a screen door in a tornado ,People of my culture be emotionally open ,People of my culture be emotionally shut off and cold ,0,X593
People of my culture be like administrative segregation in a maximum security prison ,People of my culture be emotionally open ,People of my culture be emotionally shut off and cold ,1,X593
Taking care of your responsibility be like a trip to the DMV ,Taking care of your responsibility be not fun ,Taking care of your responsibility be fun ,0,X594
Taking care of your responsibility be like a trip to the candy store ,Taking care of your responsibility be not fun ,Taking care of your responsibility be fun ,1,X594
My small foot be a plankton size organism . ,My small foot be really small . ,It hard to find shoe in my size . ,0,X595
My small foot be an unnecessary adversary in my shoe shopping . ,My small foot be really small . ,It hard to find shoe in my size . ,1,X595
The lion roar be an encapsulating voice . ,Th lion roar be extremely loud . ,The lion roar be something scary for tourist who be within close range of it . ,0,X596
The lion roar be an uneventful soap opera for tourist close by . ,Th lion roar be extremely loud . ,The lion roar be something scary for tourist who be within close range of it . ,1,X596
His shooting skill be a target in red stretch far across for mile . ,His shooting skill be really impressive ,His shooting skill be really poor . ,0,X597
His shooting skill be that of a blind drunk squirrel . ,His shooting skill be really impressive ,His shooting skill be really poor . ,1,X597
This person be a hulk ,Person be very strong . ,Person be very weak . ,0,X598
This person be a woden stick ,Person be very strong . ,Person be very weak . ,1,X598
Galaxy be god canvas . ,Galaxy be full of beautiful star and planet . ,Galaxy be extremely dark as night . ,0,X599
Galaxy be never end night . ,Galaxy be full of beautiful star and planet . ,Galaxy be extremely dark as night . ,1,X599
This culture be futuristic ,This culture be very new . ,This culture be very old . ,0,X600
This culture be over the hill ,This culture be very new . ,This culture be very old . ,1,X600
She be as responsible as a physician ,She be very responsible . ,She be totally irresponsible . ,0,X601
She be as responsible as a bohemian ,She be very responsible . ,She be totally irresponsible . ,1,X601
She have the creativity of a tie dye swirl ,She be very creative . ,She be very uncreative . ,0,X602
She have the creativity of a plaid shirt ,She be very creative . ,She be very uncreative . ,1,X602
She have the appetite of a quarterback ,She have a big appetite . ,She have a small appetite . ,0,X603
She have the appetite of a ballerina ,She have a big appetite . ,She have a small appetite . ,1,X603
The dog be as angry as a father with rude kid ,it be furious ,it be peaceful ,0,X604
The dog be as angry as a mother who fully rest ,it be furious ,it be peaceful ,1,X604
The marble be as shiny as a new penny ,it be very bright ,it be old look ,0,X605
The marble be as shiny as old sock ,it be very bright ,it be old look ,1,X605
His body be as healthy as an oak tree ,it be strong ,it be dilapidate ,0,X606
His body be as healthy as an old building ,it be strong ,it be dilapidate ,1,X606
I be as hungry as a bird ,I be not hungry . ,I be very hungry . ,0,X607
I be as hungry as a horse ,I be not hungry . ,I be very hungry . ,1,X607
I feel like a million dollar . ,I feel good . ,I feel bad . ,0,X608
I feel like roadkill . ,I feel good . ,I feel bad . ,1,X608
The boy have the attention span of a kiddie pool ,He have a short attention span ,He have a large attention span ,0,X609
The boy have the attention span of the ocean ,He have a short attention span ,He have a large attention span ,1,X609
The car be as big as an elephant ,The car be large ,The car be small ,0,X610
The car be as big as a mouse ,The car be large ,The car be small ,1,X610
The shoe be as big as a car ,The shoe be large ,The shoe be small ,0,X611
The shoe be as big as a thimble ,The shoe be large ,The shoe be small ,1,X611
The mountain be as high as The moon ,The mountain be very high . ,The mountain be very low . ,0,X612
The mountain be as high as an ant pile ,The mountain be very high . ,The mountain be very low . ,1,X612
His friend be as give as Mother Teresa ,His friend be give . ,HIs friend be not give ,0,X613
His friend be as give as Scrooge ,His friend be give . ,HIs friend be not give ,1,X613
The painting be as colorful as A sunset ,The painting be colorful ,The painting have little color . ,0,X614
The painting be as colorful as midnight ,The painting be colorful ,The painting have little color . ,1,X614
My leg be chopstick ,My leg be very skinny ,My leg be thick and large ,0,X615
My leg be Tree stalk ,My leg be very skinny ,My leg be thick and large ,1,X615
My business be a money printer ,My business make a lot of money ,My business make me lose a lot of money ,0,X616
My business be a pocket drainer ,My business make a lot of money ,My business make me lose a lot of money ,1,X616
This bread be a rock ,The bread be stale ,The bread be fresh ,0,X617
This bread be a pillow ,The bread be stale ,The bread be fresh ,1,X617
That mountain be as big as the Pacific ocean ,That mountain be huge ,That mountain be tiny ,0,X618
That mountain be as big as a mole hill ,That mountain be huge ,That mountain be tiny ,1,X618
The bread be as soft as cement ,The bread be very hard ,The bread be super soft ,0,X619
The bread be as soft as marshmallow ,The bread be very hard ,The bread be super soft ,1,X619
This table be as sturdy as a castle ,This table be very sturdy wo not fall apart easy ,This table will fall apart easily ,0,X620
This table be as sturdy as a house of card ,This table be very sturdy wo not fall apart easy ,This table will fall apart easily ,1,X620
The boy room have the neatness of a scrambled egg ,The boy room be very disorganized . ,The boy room be very neat . ,0,X621
The boy room have the neatness of a piece of lined paper ,The boy room be very disorganized . ,The boy room be very neat . ,1,X621
The man have as much leadership as a quarterback ,The man have a lot of leadership skill . ,The man have no leadership skill . ,0,X622
The man have as much leadership as a newborn ,The man have a lot of leadership skill . ,The man have no leadership skill . ,1,X622
The relationship have the strength of a steel beam ,The relationship be very strong . ,The relationship be very weak . ,0,X623
The relationship have the strength of a broken arm ,The relationship be very strong . ,The relationship be very weak . ,1,X623
The mountain be A flat desert ,The mountain be dry and clear ,The mountain be curvy ,0,X624
The mountain be A wavy hillside ,The mountain be dry and clear ,The mountain be curvy ,1,X624
His mind be A dictatorship ,His mind be not in his control ,His mind be free ,0,X625
His mind be A free country ,His mind be not in his control ,His mind be free ,1,X625
The book be A stroll in the park ,The book be easy to read ,The book be fast paced ,0,X626
The book be A marathon run ,The book be easy to read ,The book be fast paced ,1,X626
The main course be as rich as a king ransom in coin . ,The main course be tasty . ,The main course be bland . ,0,X627
The main course be as rich as a beggar pocket . ,The main course be tasty . ,The main course be bland . ,1,X627
The magician be as colorful as a peacock fan of feather . ,The magician have a lot of personality . ,The magician be dull lacked character . ,0,X628
The magician be as colorful as a flight of pigeon . ,The magician have a lot of personality . ,The magician be dull lacked character . ,1,X628
The performance be as chaste as a student at bible camp . ,The performance be restrain . ,The performance be outlandish and wild . ,0,X629
The performance be as chaste as a sophomore on a Florida spring break ,The performance be restrain . ,The performance be outlandish and wild . ,1,X629
She could float as well as a brick ,She could not float well ,She could float well ,0,X630
She could float as well as styrofoam ,She could not float well ,She could float well ,1,X630
He be as good a builder as an toddler ,He be not a good builder ,He be a good builder ,0,X631
He be as good a builder as Frank Lloyd Wright ,He be not a good builder ,He be a good builder ,1,X631
The painting be as beautiful as a toilet bowl ,The painting be not beautiful ,The painting be beautiful ,0,X632
The painting be as beautiful as the Sistine Cahpel ,The painting be not beautiful ,The painting be beautiful ,1,X632
His neck be as sore as a fireman on fire ,His neck be pretty sore ,His neck be not sore ,0,X633
His neck be as sore as a man who have a morphine milkshake for breakfast ,His neck be pretty sore ,His neck be not sore ,1,X633
The turkey have the gobble of an giant eagle have sex ,The turkey have a strong gobble ,The turkey have a weak gobble ,0,X634
The turkey have the gobble of a sad chicken with a sore throat ,The turkey have a strong gobble ,The turkey have a weak gobble ,1,X634
He have the infamy of Osama bin Laden after merge with Sadssm Hussein into a single entity ,He have a lot of infamy ,He be not infamous ,0,X635
He have the infamy of a squirrel in a public park that never leave the tree ,He have a lot of infamy ,He be not infamous ,1,X635
The crayon amount in the box be that of a unicorn puking rainbow ,There plenty of crayon in the box ,There be not much variety of color in the crayon box ,0,X636
The crayon amount in the box be that of a dry up slug ,There plenty of crayon in the box ,There be not much variety of color in the crayon box ,1,X636
The car engine have the power of a knight overpower a dragon in the dungeon ,The car engine be strong ,The car engine be weak ,0,X637
The car engine have the power of a bug try to push a person over ,The car engine be strong ,The car engine be weak ,1,X637
The babysitter have the ability to entertain a crazy group of bear into tapdance ,The babysitter be fun to have around ,The babysitter do not know how to entertain those she watch ,0,X638
The babysitter have the ability to entertain the air into stay the air ,The babysitter be fun to have around ,The babysitter do not know how to entertain those she watch ,1,X638
The toy be float like a rock . ,The toy be sink . ,The toy be float well . ,0,X639
The toy be float like a raft . ,The toy be sink . ,The toy be float well . ,1,X639
The building be as beautiful as a painting . ,The building be pretty . ,The building be ugly . ,0,X640
The building be as beautiful as a dumpster . ,The building be pretty . ,The building be ugly . ,1,X640
The drink taste as good as a handful of candy . ,The drink be good . ,The drink be bad . ,0,X641
The drink taste as good as a handful of dirt . ,The drink be good . ,The drink be bad . ,1,X641
The lady float in the lake like An empty bottle in the ocean ,The woman float like she be weightless ,The woman sink heavily . ,0,X642
The lady float in the lake like A fishing net in the ocean ,The woman float like she be weightless ,The woman sink heavily . ,1,X642
The building lobby interior remind her of Entering the White House ,The lobby be very stately ,The lobby be a bit run down ,0,X643
The building lobby interior remind her of Entering a hole in the wall nightclub ,The lobby be very stately ,The lobby be a bit run down ,1,X643
Fingernails be beautiful and they remind her of The pearlescents of a pearl ,Your nail be pretty and shiny ,Her nail have too many ridge ,0,X644
Fingernails be beautiful and they remind her of The texture of a clam shell ,Your nail be pretty and shiny ,Her nail have too many ridge ,1,X644
The woman marriage be as legitimate as a birth certificate ,The woman marriage be legitimate . ,The woman marriage be illegitimate . ,0,X645
The woman marriage be as legitimate as a child bear out of wedlock ,The woman marriage be legitimate . ,The woman marriage be illegitimate . ,1,X645
The woman diet be a Brussels sprout ,The woman diet be very healthy . ,The woman diet be very unhealthy . ,0,X646
The woman diet be a French fry ,The woman diet be very healthy . ,The woman diet be very unhealthy . ,1,X646
The woman complete her assignment like an ant ,The woman be productive at complete her assignment . ,The woman be unproductive at complete her assignment . ,0,X647
The woman complete her assignment like a slug ,The woman be productive at complete her assignment . ,The woman be unproductive at complete her assignment . ,1,X647
The stricken raft be float like A lead brick ,The raft be sink ,The raft be remain afloat ,0,X648
The stricken raft be float like A styrofoam cooler ,The raft be sink ,The raft be remain afloat ,1,X648
The remodeling of the building be go as smoothly as A wrench stuck in the gear ,The remodeling be not go well ,The remodeling be go smoothly ,0,X649
The remodeling of the building be go as smoothly as A well prepared student take an exam ,The remodeling be not go well ,The remodeling be go smoothly ,1,X649
The contestant be as beautiful as A malformed sculpture ,The contestant be ugly and not beautiful ,The contestant be attractive and beautiful ,0,X650
The contestant be as beautiful as A favorite of Aphrodite ,The contestant be ugly and not beautiful ,The contestant be attractive and beautiful ,1,X650
The moonlight sparkle brighter than a gypsy ,The moonlight do not transform into a colorful gypsy . ,it light up the night with sparkle radiance . ,0,X651
The moonlight sparkle brighter than a sun ,The moonlight do not transform into a colorful gypsy . ,it light up the night with sparkle radiance . ,1,X651
The sun be a creature of habit ,The sun of course be not a creature at all . ,However this metaphor convey the pattern and repetition of sunrise and sunset . ,0,X652
The sun be a creature of characteristic ,The sun of course be not a creature at all . ,However this metaphor convey the pattern and repetition of sunrise and sunset . ,1,X652
Warmth blanket the area ,While temperature ca not be throw over an area the way a blanket can . ,it can settle in and stay in place over a widespread area . ,0,X653
Warmth blanket the square ,While temperature ca not be throw over an area the way a blanket can . ,it can settle in and stay in place over a widespread area . ,1,X653
The elephant be as tall as a giraffe ,The elephant be tall ,the elephant be short ,0,X654
The elephant be as tall as a bug ,The elephant be tall ,the elephant be short ,1,X654
Her mom be as fat as Saturn ,The mom be fat ,THe mom be skinny ,0,X655
Her mom be as fat as a pea ,The mom be fat ,THe mom be skinny ,1,X655
The boyfriend be as smart as an elephant ,The boyfriend be smart ,The boyfriend be dumb ,0,X656
The boyfriend be as smart as a goldfish ,The boyfriend be smart ,The boyfriend be dumb ,1,X656
life have a various chance for prove our self ,chance never come again ,we use all the chance ,0,X657
life have a various chance and our talent ,chance never come again ,we use all the chance ,1,X657
life journey be the best and a unique ,we love journey ,we like journey ,0,X658
life journey be the creation of the god ,we love journey ,we like journey ,1,X658
share the life event and a very interesting matter be ,we share the event ,we love the share ,0,X659
share the life event and very joyful matter ,we share the event ,we love the share ,1,X659
The odds of win against the current player be that of An icicle chance in a furnace ,The odds be bad and one will likely lose ,The odds be very good and one will win ,0,X660
The odds of win against the current player be that of The sun come up in the east tomorrow ,The odds be bad and one will likely lose ,The odds be very good and one will win ,1,X660
The journey have the difficulty level of A walk across the Sahara Desert without water ,The journey be very difficult ,The journey be very easy ,0,X661
The journey have the difficulty level of A gentle stroll in a shopping mall ,The journey be very difficult ,The journey be very easy ,1,X661
The child willingness to share be that of A miserly old beggar ,The child be selfish and not willing to share ,The child be generous and love to share ,0,X662
The child willingness to share be that of A billionaire philanthropist ,The child be selfish and not willing to share ,The child be generous and love to share ,1,X662
My chance be as likely as find a needle in a hay stack ,My chance be not likely ,My chance be certain ,0,X663
My chance be as likely as find a needle in a stack of needle ,My chance be not likely ,My chance be certain ,1,X663
This journey will be as long as a lifetime ,This journey will be long ,This journey will be short ,0,X664
This journey will be as long as a wink ,This journey will be long ,This journey will be short ,1,X664
Your share of the treasure be as big as the moon ,Your share be big ,Your share be small ,0,X665
Your share of the treasure be as big as a mouse ,Your share be big ,Your share be small ,1,X665
The building be as tall as a giant ,it be huge ,it be small ,0,X666
The building be as tall as an ant ,it be huge ,it be small ,1,X666
his money be as short as a three year old ,he be broke ,he be rich ,0,X667
his money be as short as a basketball player ,he be broke ,he be rich ,1,X667
the guitar be as loud as a dog barking at a squirrel ,it be noisy ,it be soft ,0,X668
the guitar be as loud as an ant walking ,it be noisy ,it be soft ,1,X668
The dancer move with the grace of a new born foal ,The dancer be clumsy and awkward ,The dancer be delicate and poise ,0,X669
The dancer move with the grace of a gentle breeze through the garden ,The dancer be clumsy and awkward ,The dancer be delicate and poise ,1,X669
The candle scent be as pleasant as a restaurant dumpster ,The candle scent be pungent and nasty ,The candle scent be reminiscent and satisfy ,0,X670
The candle scent be as pleasant as watch the wave crash over the sand ,The candle scent be pungent and nasty ,The candle scent be reminiscent and satisfy ,1,X670
The woman be as tightly wound as a spring coil ,The woman be very stressed and tense ,The woman be carefree and easy to please ,0,X671
The woman be as tightly wound as her flowing lock ,The woman be very stressed and tense ,The woman be carefree and easy to please ,1,X671
The chance of find her expensive shoe on sale be as small as The gem on her fancy fingernail ,The chamces be small ,There be a decent chance ,0,X672
The chance of find her expensive shoe on sale be as small as Diamond ornament on a Christmas tree . ,The chamces be small ,There be a decent chance ,1,X672
The journey would be as long as The lord of the ring film ,The journey would be long ,It would be a brief journey ,0,X673
The journey would be as long as A commercial ,The journey would be long ,It would be a brief journey ,1,X673
Her share of the pie be the size of A suburban by Chevy ,She have a lot of pie ,She have very little pie ,0,X674
Her share of the pie be the size of A hot wheel chevy car ,She have a lot of pie ,She have very little pie ,1,X674
We share our bath of wealth . ,We share resource . ,We share suffering . ,0,X675
We share our yoke of hardship ,We share resource . ,We share suffering . ,1,X675
