startphrase,ending,startphrase_lem,ending_lem,labels,qid,xid,simile,negation,intensification,negation all,not all
The missiles' ability to hit the target was as accurate as William Tell going against a very large apple,The missiles are very accurate,The missile ' ability to hit the target be as accurate as William Tell go against a very large apple ,The missile be very accurate ,1,X137,X137_1,as-as,0,0,aff,FALSE
The science presented at the conference had the depth of A wrinkle on a microscopic organism,The science is very shallow and simplistic,The science present at the conference have the depth of A wrinkle on a microscopic organism ,The science be very shallow and simplistic ,0,X138,X138_0,the-of,0,0,aff,FALSE
The science presented at the conference had the depth of The Marianas Trench,The science is very deep and profound,The science present at the conference have the depth of The Marianas Trench ,The science be very deep and profound ,1,X138,X138_1,the-of,0,0,aff,FALSE
The grass was a long flat emerald,The grass was pretty and green,The grass be a long flat emerald ,The grass be pretty and green ,0,X139,X139_0,,0,0,aff,FALSE
The grass was a murky swamp,"The grass was dirty, brown, and gross",The grass be a murky swamp ,The grass be dirty brown and gross ,1,X139,X139_1,,0,0,aff,FALSE
She had the figure of a 1920's model,She was very thing and pretty,She have the figure of a 1920 model ,She be very thing and pretty ,0,X140,X140_0,the-of,0,0,aff,FALSE
She had the figure of a brutish viking,She was very built and muscular,She have the figure of a brutish viking ,She be very built and muscular ,1,X140,X140_1,the-of,0,0,aff,FALSE
The symphopny was an explosion,The symphony was loud and bombastic,The symphopny be an explosion ,The symphony be loud and bombastic ,0,X141,X141_0,,0,0,aff,FALSE
The symphopny was A loud summer cicada,The symphony was repetitive and annoying,The symphopny be A loud summer cicada ,The symphony be repetitive and annoy ,1,X141,X141_1,,0,0,aff,FALSE
They have the grace of a car accident,They are not graceful,They have the grace of a car accident ,They be not graceful ,0,X142,X142_0,the-of,not,0,neg,TRUE
They have the grace of a ballerina,They are very graceful,They have the grace of a ballerina ,They be very graceful ,1,X142,X142_1,the-of,0,not,aff,FALSE
your cooking is like drinking bleach,Your cooking is bad,your cooking be like drink bleach ,Your cooking be bad ,0,X143,X143_0,like,0,0,aff,FALSE
your cooking is like sleeping in on a Saturday,your cooking is good,your cooking be like sleep in on a Saturday ,your cooking be good ,1,X143,X143_1,like,0,0,aff,FALSE
your friendship makes me feel like a pool of vomit,your friendship is a negative influence on my life,your friendship make me feel like a pool of vomit ,your friendship be a negative influence on my life ,0,X144,X144_0,like,0,0,aff,FALSE
your friendship makes me feel like I am wrapped in a soothing cocoon,your friendship is a positive influence on my life.,your friendship make me feel like I be wrap in a soothing cocoon ,your friendship be a positive influence on my life . ,1,X144,X144_1,like,0,0,aff,FALSE
Emotional is very power Emotional is very power,Emotional is very power,Emotional be very power Emotional be very power ,Emotional be very power ,0,X145,X145_0,,0,0,aff,FALSE
Emotional is very power Emotional is very power,Emotional is very power,Emotional be very power Emotional be very power ,Emotional be very power ,1,X145,X145_1,,0,0,aff,FALSE
That group is an army,That group is large,That group be an army ,That group be large ,0,X146,X146_0,,0,0,aff,FALSE
That group is a clique,That group is small.,That group be a clique ,That group be small . ,1,X146,X146_1,,0,0,aff,FALSE
The cake is a feather,The cake is light,The cake be a feather ,The cake be light ,0,X147,X147_0,,0,0,aff,FALSE
The cake is a brick,The cake is heavy,The cake be a brick ,The cake be heavy ,1,X147,X147_1,,0,0,aff,FALSE
The crowd is a thunderstorm The crowd is a whisper,The crowd is loud,The crowd be a thunderstorm The crowd be a whisper ,The crowd be loud ,0,X148,X148_0,,0,0,aff,FALSE
The crowd is a thunderstorm The crowd is a flurry.,The crowd is quiet,The crowd be a thunderstorm The crowd be a flurry . ,The crowd be quiet ,1,X148,X148_1,,0,0,aff,FALSE
The groups are the open as A lockbox in a bank,The groups are very closed,The group be the open as A lockbox in a bank ,The group be very closed ,0,X149,X149_0,as,0,0,aff,FALSE
The groups are the open as Las Vegas casino,The groups are very open.,The group be the open as Las Vegas casino ,The group be very open . ,1,X149,X149_1,as,0,0,aff,FALSE
The target is as close as Your nose,The target is nearby,The target be as close as Your nose ,The target be nearby ,0,X150,X150_0,as-as,0,0,aff,FALSE
The target is as close as The international space station,The target is very far,The target be as close as The international space station ,The target be very far ,1,X150,X150_1,as-as,0,0,aff,FALSE
Science is old as A newborn,Science is young,Science be old as A newborn ,Science be young ,0,X151,X151_0,as,0,0,aff,FALSE
Science is old as The grand canyon,Science is old,Science be old as The grand canyon ,Science be old ,1,X151,X151_1,as,0,0,aff,FALSE
The ball was as colorful as a bowl of cereal,it was vibrant,The ball be as colorful as a bowl of cereal ,it be vibrant ,0,X152,X152_0,as-as,0,0,aff,FALSE
The ball was as colorful as a cloudy sky,it was mundane,The ball be as colorful as a cloudy sky ,it be mundane ,1,X152,X152_1,as-as,0,0,aff,FALSE
The warrior was as fierce as a lion,he was mean,The warrior be as fierce as a lion ,he be mean ,0,X153,X153_0,as-as,0,0,aff,FALSE
The warrior was as fierce as a kitten,he was nice,The warrior be as fierce as a kitten ,he be nice ,1,X153,X153_1,as-as,0,0,aff,FALSE
The riot was as disruptive as a hurricane,it was crazy,The riot be as disruptive as a hurricane ,it be crazy ,0,X154,X154_0,as-as,0,0,aff,FALSE
The riot was as disruptive as a mouse with one leg,it was harmless,The riot be as disruptive as a mouse with one leg ,it be harmless ,1,X154,X154_1,as-as,0,0,aff,FALSE
A dog as large as an elephant,The dog is large,A dog as large as an elephant ,The dog be large ,0,X155,X155_0,as-as,0,as as,aff,FALSE
A dog as large as a mouse,The dog is small,A dog as large as a mouse ,The dog be small ,1,X155,X155_1,as-as,as as,0,aff,FALSE
A boy as smart as an elephant,The boy is smart,A boy as smart as an elephant ,The boy be smart ,0,X156,X156_0,as-as,0,as as,aff,FALSE
A boy as smart as a goldfish,The boy is dumb,A boy as smart as a goldfish ,The boy be dumb ,1,X156,X156_1,as-as,as as,0,aff,FALSE
A movie as expensive as a car,the movie is expensive,A movie as expensive as a car ,the movie be expensive ,0,X157,X157_0,as-as,0,as as,aff,FALSE
A movie as expensive as a piece of candy,the movie is cheap,A movie as expensive as a piece of candy ,the movie be cheap ,1,X157,X157_1,as-as,as as,0,aff,FALSE
He was as down-to-earth as the village idiot,He was not down-to-earth,He be as down to earth as the village idiot ,He be not down to earth ,0,X158,X158_0,as-as,not,0,neg,TRUE
He was as down-to-earth as the Marlboro Man,He was down-to-earth,He be as down to earth as the Marlboro Man ,He be down to earth ,1,X158,X158_1,as-as,0,not,aff,FALSE
The  detective was as good as Inspector Closseau,The  detective was not good,The detective be as good as Inspector Closseau ,The detective be not good ,0,X159,X159_0,as-as,not,0,neg,TRUE
The  detective was as good as Sherlock Holmes,The  detective was good,The detective be as good as Sherlock Holmes ,The detective be good ,1,X159,X159_1,as-as,0,not,aff,FALSE
The seat was as wide as a peephole,The seat was not wide,The seat be as wide as a peephole ,The seat be not wide ,0,X160,X160_0,as-as,not,0,neg,TRUE
The seat was as wide as a football field,The seat was wide,The seat be as wide as a football field ,The seat be wide ,1,X160,X160_1,as-as,0,not,aff,FALSE
I've got a resume the size of the earth,My resume is big,I 've get a resume the size of the earth ,My resume be big ,0,X161,X161_0,the-of,0,0,aff,FALSE
I've got a resume the size of a pebble,My resume is small,I 've get a resume the size of a pebble ,My resume be small ,1,X161,X161_1,the-of,0,0,aff,FALSE
You're as suspicious as a spy,You're suspicious,You 're as suspicious as a spy ,You 're suspicious ,0,X162,X162_0,as-as,0,not,aff,FALSE
You're as suspicious as a saint,You're not suspicious,You 're as suspicious as a saint ,You 're not suspicious ,1,X162,X162_1,as-as,not,0,neg,TRUE
This seat is like sitting on air,This seat is comfortable,This seat be like sit on air ,This seat be comfortable ,0,X163,X163_0,like,0,0,aff,FALSE
This seat is like sitting on rocks,This seat is uncomfortable,This seat be like sit on rock ,This seat be uncomfortable ,1,X163,X163_1,like,0,0,aff,FALSE
The seat is empty like Jimmy Hoffa's grave,"The seat is free, there's nothing in it",The seat be empty like Jimmy Hoffa grave ,The seat be free there nothing in it ,0,X164,X164_0,like,0,0,neg,FALSE
The seat is empty like a rush hour bus downtown,The seat is full,The seat be empty like a rush hour bus downtown ,The seat be full ,1,X164,X164_1,like,0,0,aff,FALSE
Your dress is shiny as a quarter that just went through the washing machine,Your dress is totally dull,Your dress be shiny as a quarter that just go through the washing machine ,Your dress be totally dull ,0,X165,X165_0,as,0,0,aff,FALSE
Your dress is shiny as a new car in the early afternoon sun,Your dress is brilliantly shiny,Your dress be shiny as a new car in the early afternoon sun ,Your dress be brilliantly shiny ,1,X165,X165_1,as,0,0,aff,FALSE
He's as lonely as a scientist at an Antarctic research post,He's very lonely,He as lonely as a scientist at an Antarctic research post ,He very lonely ,0,X166,X166_0,as-as,0,not,aff,FALSE
He's as lonely as a high school cheerleader at homecoming,He's not lonely at all and surrounded by friends,He as lonely as a high school cheerleader at homecoming ,He not lonely at all and surround by friend ,1,X166,X166_1,as-as,not,0,neg,TRUE
The bird on the window sill gave the man a feeling which reminded him of Coming back home after a long trip,The man felt comforted and relieved.,The bird on the window sill give the man a feeling which remind him of Coming back home after a long trip ,The man felt comforted and relieve . ,0,X167,X167_0,the-of,0,0,aff,FALSE
The bird on the window sill gave the man a feeling which reminded him of About to head off on a vacation,The man was excited and looking forward.to it.,The bird on the window sill give the man a feeling which remind him of About to head off on a vacation ,The man be excite and look forward.to it . ,1,X167,X167_1,the-of,0,0,aff,FALSE
The suspicion he felt as she gave her excuse reminded him of Watching The mysterious movie Diobolique,Her behavior was highly questionable,The suspicion he felt as she give her excuse remind him of Watching The mysterious movie Diobolique ,Her behavior be highly questionable ,0,X168,X168_0,as,0,0,aff,FALSE
The suspicion he felt as she gave her excuse reminded him of Watching Inspector Gadget.,Her behavior was highly comical,The suspicion he felt as she give her excuse remind him of Watching Inspector Gadget . ,Her behavior be highly comical ,1,X168,X168_1,as,0,0,aff,FALSE
The view from his seat in the theater reminded him of An expensive Opera box,The seats gave him a great view.,The view from his seat in the theater remind him of An expensive Opera box ,The seat give him a great view . ,0,X169,X169_0,the-of,0,0,aff,FALSE
The view from his seat in the theater reminded him of Watching it on a television screen instead,The seats view was limited.,The view from his seat in the theater remind him of Watching it on a television screen instead ,The seat view be limit . ,1,X169,X169_1,the-of,0,0,aff,FALSE
The earth was a home,Someone found the earth a pleasant place to live,The earth be a home ,Someone find the earth a pleasant place to live ,0,X170,X170_0,,0,0,aff,FALSE
The earth was a prison,Someone found the earth an unpleasant or stagnant place to live,The earth be a prison ,Someone find the earth an unpleasant or stagnant place to live ,1,X170,X170_1,,0,0,aff,FALSE
Suspicion is a tool,Suspicion helps its users,Suspicion be a tool ,Suspicion help its user ,0,X171,X171_0,,0,0,aff,FALSE
Suspicion is a hindrance,Suspicion holds its users back,Suspicion be a hindrance ,Suspicion hold its user back ,1,X171,X171_1,,0,0,aff,FALSE
The seat was a throne,The seat was prestigious,The seat be a throne ,The seat be prestigious ,0,X172,X172_0,,0,0,aff,FALSE
The seat was a stocks,The seat was insulting or degrading,The seat be a stock ,The seat be insult or degrade ,1,X172,X172_1,,0,0,aff,FALSE
This seat is a baby's chair.,Seat is very uncomfortable.,This seat be a baby chair . ,Seat be very uncomfortable . ,0,X173,X173_0,,0,0,aff,FALSE
This seat is a throne.,Seat is very comfortable.,This seat be a throne . ,Seat be very comfortable . ,1,X173,X173_1,,0,0,aff,FALSE
Earth is a god's heaven.,Earth is very beautiful and peaceful place.,Earth be a god heaven . ,Earth be very beautiful and peaceful place . ,0,X174,X174_0,,0,0,aff,FALSE
Earth is is a hellfire.,Earth is ugly and full of sufferings.,Earth be be a hellfire . ,Earth be ugly and full of suffering . ,1,X174,X174_1,,0,0,aff,FALSE
Suspicion murders the faith,suspicion could kill faith in some one.,Suspicion murder the faith ,suspicion could kill faith in some one . ,0,X175,X175_0,,0,0,aff,FALSE
Suspicion lights up the fact.,suspicion could bring out the truth.,Suspicion light up the fact . ,suspicion could bring out the truth . ,1,X175,X175_1,,0,0,aff,FALSE
The car's engine sounds like a cat purring,The engine runs smoothly,The car engine sound like a cat purring ,The engine run smoothly ,0,X176,X176_0,like,0,0,aff,FALSE
The car's engine sounds like a dragon snoring,The engine is loud,The car engine sound like a dragon snoring ,The engine be loud ,1,X176,X176_1,like,0,0,aff,FALSE
My mom's cooking is as tasty as a bowl of vomit,My mom's cooking is disgusting,My mom cooking be as tasty as a bowl of vomit ,My mom cooking be disgust ,0,X177,X177_0,as-as,0,0,aff,FALSE
My mom's cooking is as tasty as manna from Heaven,My mom's cooking is delicious,My mom cooking be as tasty as manna from Heaven ,My mom cooking be delicious ,1,X177,X177_1,as-as,0,0,aff,FALSE
The professor's voice is like a velvet cloak,The professor's voice is smooth,The professor voice be like a velvet cloak ,The professor voice be smooth ,0,X178,X178_0,like,0,0,aff,FALSE
The professor's voice is like a cat in heat,The professor's voice is irritating,The professor voice be like a cat in heat ,The professor voice be irritate ,1,X178,X178_1,like,0,0,aff,FALSE
The pollution produced by the new industry is like A landfill dumped on a public park,The pollution from the new industry is horrible,The pollution produce by the new industry be like A landfill dump on a public park ,The pollution from the new industry be horrible ,0,X179,X179_0,like,0,0,aff,FALSE
The pollution produced by the new industry is like A drop in the Pacific Ocean.,The pollution from the new industry has almost zero impact,The pollution produce by the new industry be like A drop in the Pacific Ocean . ,The pollution from the new industry have almost zero impact ,1,X179,X179_1,like,0,0,aff,FALSE
The child's ability to understand is like that of An uncomprehending door knob,The child has difficulty understanding things,The child ability to understand be like that of An uncomprehending door knob ,The child have difficulty understand thing ,0,X180,X180_0,like,0,0,aff,FALSE
The child's ability to understand is like that of A child genius like Mozart,The child is a quick study and understands things easily,The child ability to understand be like that of A child genius like Mozart ,The child be a quick study and understands thing easily ,1,X180,X180_1,like,0,0,aff,FALSE
The blood in the repository had the efficacy of Venom from a poisonous snake,The blood is bad and will cause harm,The blood in the repository have the efficacy of Venom from a poisonous snake ,The blood be bad and will cause harm ,0,X181,X181_0,the-of,0,0,aff,FALSE
The blood in the repository had the efficacy of A Life-giving serum,The blood is good and can be used to save lives,The blood in the repository have the efficacy of A Life give serum ,The blood be good and can be use to save life ,1,X181,X181_1,the-of,0,0,aff,FALSE
This industry will be as protifable as Fort Knox,The industry will make a lot of money,This industry will be as protifable as Fort Knox ,The industry will make a lot of money ,0,X182,X182_0,as-as,0,not,aff,FALSE
This industry will be as protifable as a lemonade stand,The industry will not make very much money,This industry will be as protifable as a lemonade stand ,The industry will not make very much money ,1,X182,X182_1,as-as,not,0,neg,TRUE
I understand you as well as myself,I understand you well,I understand you as well as myself ,I understand you well ,0,X183,X183_0,as-as,0,not,aff,FALSE
I understand you as well as hieroglyphics,I don't understand you at all,I understand you as well as hieroglyphic ,I do not understand you at all ,1,X183,X183_1,as-as,not,0,neg,TRUE
You have the strength of a bodybuilder,You're strong,You have the strength of a bodybuilder ,You 're strong ,0,X184,X184_0,the-of,0,0,aff,FALSE
You have the strength of a baby,You're weak,You have the strength of a baby ,You 're weak ,1,X184,X184_1,the-of,0,0,aff,FALSE
That's as consistent as California weather,It's very consistent,That as consistent as California weather ,It very consistent ,0,X185,X185_0,as-as,0,not,aff,FALSE
That's as consistent as a 2011 Jeep Cherokee,It's not consistent at all,That as consistent as a 2011 Jeep Cherokee ,It not consistent at all ,1,X185,X185_1,as-as,not,0,neg,TRUE
It's as empty as a gym during the winter,It's completely empty,It as empty as a gym during the winter ,It completely empty ,0,X186,X186_0,as-as,0,as as,aff,FALSE
It's as empty as a nightclub on a Saturday,It's full,It as empty as a nightclub on a Saturday ,It full ,1,X186,X186_1,as-as,as as,0,aff,FALSE
It's as clear as a window cleaned with Windex,It's very clear,It as clear as a window clean with Windex ,It very clear ,0,X187,X187_0,as-as,0,not,aff,FALSE
It's as clear as snowstorm,It's not clear at all.,It as clear as snowstorm ,It not clear at all . ,1,X187,X187_1,as-as,not,0,neg,TRUE
That rollercoaster would scare Zeus out of his thunder and pants,That rollercoaster is terrifying,That rollercoaster would scare Zeus out of his thunder and pant ,That rollercoaster be terrify ,0,X188,X188_0,,0,0,aff,FALSE
That rollercoaster would scare a bug at the most,That rollercoaster isn't scary,That rollercoaster would scare a bug at the most ,That rollercoaster be not scary ,1,X188,X188_1,,0,0,neg,TRUE
That backpack can carry Mount Everest and Mount Rushmore with room to spare,The backpack can carry a whole lot,That backpack can carry Mount Everest and Mount Rushmore with room to spare ,The backpack can carry a whole lot ,0,X189,X189_0,,0,0,aff,FALSE
That backpack can carry only carry a microbe and it'd be a tight fit for the microbe,The backpack is too small to carry anything,That backpack can carry only carry a microbe and it 'd be a tight fit for the microbe ,The backpack be too small to carry anything ,1,X189,X189_1,,0,0,aff,FALSE
That car mechanic can fix Bumblebee and Optimus Prime blindfolded,The car mechanic can fix any car,That car mechanic can fix Bumblebee and Optimus Prime blindfold ,The car mechanic can fix any car ,0,X190,X190_0,,0,0,aff,FALSE
That car mechanic can fix the devil's car and he STILL wouldn't be happy with how it turned out,The car mechanic doesn't know how to fix cars well,That car mechanic can fix the devil car and he STILL would not be happy with how it turn out ,The car mechanic do not know how to fix car well ,1,X190,X190_1,,0,0,neg,TRUE
The woman was as simple-minded as calculus,The woman's mind was very complex.,The woman be as simple mind as calculus ,The woman mind be very complex . ,0,X191,X191_0,as-as,as as,0,aff,FALSE
The woman was as simple-minded as a picture book,The woman was very simple-minded.,The woman be as simple mind as a picture book ,The woman be very simple mind . ,1,X191,X191_1,as-as,0,as as,aff,FALSE
The girl's singing voice was a flute,The girl had a good singing voice.,The girl sing voice be a flute ,The girl have a good singing voice . ,0,X192,X192_0,,0,0,aff,FALSE
The girl's singing voice was a crow,The girl had a poor singing voice.,The girl sing voice be a crow ,The girl have a poor singing voice . ,1,X192,X192_1,,0,0,aff,FALSE
The boy was as round as a chocolate chip cookie,The boy was fat.,The boy be as round as a chocolate chip cookie ,The boy be fat . ,0,X193,X193_0,as-as,0,0,aff,FALSE
The boy was as round as a green bean,The boy was thin.,The boy be as round as a green bean ,The boy be thin . ,1,X193,X193_1,as-as,0,0,aff,FALSE
Embarrassment is a mushrooming red balloon.,When a person is embarrassed the situation seems huge and oversized.,Embarrassment be a mushrooming red balloon . ,When a person be embarrass the situation seem huge and oversized . ,0,X194,X194_0,,0,0,aff,FALSE
Embarrassment is a a catalyst for insignificance.,When a person is embarrassed it might lead them to feel small and unimportant.,Embarrassment be a a catalyst for insignificance . ,When a person be embarrass it might lead them to feel small and unimportant . ,1,X194,X194_1,,0,0,aff,FALSE
Happiness is a trampoline.,Happy people are often bubbly and bouncy.,Happiness be a trampoline . ,Happy people be often bubbly and bouncy . ,0,X195,X195_0,,0,0,aff,FALSE
Happiness is a serene spa.,Happy people are often calm and relaxed.,Happiness be a serene spa . ,Happy people be often calm and relaxed . ,1,X195,X195_1,,0,0,aff,FALSE
Freedom on a leash is probation.,People on probation leave the confinement of prison with restrictions.,Freedom on a leash be probation . ,People on probation leave the confinement of prison with restriction . ,0,X196,X196_0,,0,0,aff,FALSE
Freedom on a leash is marriage.,People voluntarily go into the confinement of marriage with restrictions.,Freedom on a leash be marriage . ,People voluntarily go into the confinement of marriage with restriction . ,1,X196,X196_1,,0,0,aff,FALSE
This industry runs as a Calibrated machine,The industry runs well,This industry run as a Calibrated machine ,The industry run well ,0,X197,X197_0,as,0,0,aff,FALSE
This industry runs as a Old car,The industry is inefficient,This industry run as a Old car ,The industry be inefficient ,1,X197,X197_1,as,0,0,aff,FALSE
The wine was pungent as Blood,The wine was very pungent,The wine be pungent as Blood ,The wine be very pungent ,0,X198,X198_0,as,0,0,aff,FALSE
The wine was pungent as Water,The wine was stale,The wine be pungent as Water ,The wine be stale ,1,X198,X198_1,as,0,0,aff,FALSE
The cable is much like A chain,The cable is very resilient,The cable be much like A chain ,The cable be very resilient ,0,X199,X199_0,like,0,0,aff,FALSE
The cable is much like A strand of floss,The cable is very fragile,The cable be much like A strand of floss ,The cable be very fragile ,1,X199,X199_1,like,0,0,aff,FALSE
The lamp is the sun,The lamp is bright,The lamp be the sun ,The lamp be bright ,0,X200,X200_0,,0,0,aff,FALSE
The lamp is the nocturnal house at the zoo,The lamp is dark,The lamp be the nocturnal house at the zoo ,The lamp be dark ,1,X200,X200_1,,0,0,aff,FALSE
The computer is a race car,The computer runs fast,The computer be a race car ,The computer run fast ,0,X201,X201_0,,0,0,aff,FALSE
The computer is a tortoise,The computer runs slow,The computer be a tortoise ,The computer run slow ,1,X201,X201_1,,0,0,aff,FALSE
The dog is a wooly mammoth,the dog has tons of hair,The dog be a wooly mammoth ,the dog have ton of hair ,0,X202,X202_0,,0,0,aff,FALSE
The dog is a marine,the dog has little hair,The dog be a marine ,the dog have little hair ,1,X202,X202_1,,0,0,aff,FALSE
Last night's Lorde concert was a terrorist assault on my ear drums.,Lorde's music was not to my taste and it upset me.,Last night Lorde concert be a terrorist assault on my ear drum . ,Lorde music be not to my taste and it upset me . ,0,X203,X203_0,,0,0,neg,TRUE
Last night's Lorde concert was an orgasm.,I loved hearing Lorde's music.,Last night Lorde concert be an orgasm . ,I love hear Lorde music . ,1,X203,X203_1,,0,0,aff,FALSE
The insult came across as a shot above the waterline,The insult was frightening and showed that a much worse outcome was avoided,The insult come across as a shot above the waterline ,The insult be frighten and show that a much worse outcome be avoid ,0,X204,X204_0,as,0,0,aff,FALSE
The insult came across as a tap on the shoulder,The insult became a strengthening factor to improve oneself; of support,The insult come across as a tap on the shoulder ,The insult become a strengthen factor to improve oneself ; of support ,1,X204,X204_1,as,0,0,aff,FALSE
Waiting on their date alone at restaurant was as if waiting on desert rain,The wait was a wasteful act as the known outcome wouldn't change,Waiting on their date alone at restaurant be as if wait on desert rain ,The wait be a wasteful act as the known outcome would not change ,0,X205,X205_0,as,not,0,neg,TRUE
Waiting on their date alone at restaurant was as if a crescendo building,The wait was only increasing the spectacle of the night's end,Waiting on their date alone at restaurant be as if a crescendo building ,The wait be only increase the spectacle of the night end ,1,X205,X205_1,as,0,not,aff,FALSE
The endless night was a sign of death,The endless night and lack of light alludes to death and never rising again,The endless night be a sign of death ,The endless night and lack of light alludes to death and never rise again ,0,X206,X206_0,,0,0,aff,FALSE
The endless night was a sign of rest,The endless night and peace presents a period of rest and recovery,The endless night be a sign of rest ,The endless night and peace present a period of rest and recovery ,1,X206,X206_1,,0,0,aff,FALSE
The concert went off without a hitch,The concert was accomplished according to plan,The concert go off without a hitch ,The concert be accomplish accord to plan ,0,X207,X207_0,,0,0,aff,FALSE
The concert went off like a stink bomb,The concert failed completely,The concert go off like a stink bomb ,The concert fail completely ,1,X207,X207_1,like,0,0,aff,FALSE
He had the external composure of a statue,He hid his internal emotions well,He have the external composure of a statue ,He hide his internal emotion well ,0,X208,X208_0,the-of,0,0,aff,FALSE
He had the external composure of trembling jello,He hid his internal emotions poorly,He have the external composure of tremble jello ,He hide his internal emotion poorly ,1,X208,X208_1,the-of,0,0,aff,FALSE
Hollywood is a yellow brick road,Hollywood provides means to reach one's dreams,Hollywood be a yellow brick road ,Hollywood provide mean to reach one dream ,0,X209,X209_0,,0,0,aff,FALSE
Hollywood is a primrose path,Hollywood looks appealing but leads to negative outcomes,Hollywood be a primrose path ,Hollywood look appeal but lead to negative outcome ,1,X209,X209_1,,0,0,aff,FALSE
The policeman was as professional as a CEO,The policeman very extremely professional,The policeman be as professional as a CEO ,The policeman very extremely professional ,0,X210,X210_0,as-as,0,not,aff,FALSE
The policeman was as professional as a high school dropout,The policeman did not act professional at all,The policeman be as professional as a high school dropout ,The policeman do not act professional at all ,1,X210,X210_1,as-as,not,0,neg,TRUE
The throne was as shiny as a gold nugget,The throne was very shiny,The throne be as shiny as a gold nugget ,The throne be very shiny ,0,X211,X211_0,as-as,0,not,aff,FALSE
The throne was as shiny as a rusted car,The throne was dull and lackluster. Not shiny at all,The throne be as shiny as a rusted car ,The throne be dull and lackluster . Not shiny at all ,1,X211,X211_1,as-as,not,0,neg,TRUE
The report was a comprehensive as a science thesis,"The report was detailed, in depth, and very comprehensive",The report be a comprehensive as a science thesis ,The report be detail in depth and very comprehensive ,0,X212,X212_0,as,0,not,aff,FALSE
The report was a comprehensive as a coloring book,"The report was not comprehensive, more like a child wrote it",The report be a comprehensive as a coloring book ,The report be not comprehensive more like a child write it ,1,X212,X212_1,as,not,0,neg,TRUE
The concert was as crowded as a rush-hour train,The concert was crowded,The concert be as crowd as a rush hour train ,The concert be crowd ,0,X213,X213_0,as-as,0,not,aff,FALSE
The concert was as crowded as a mausoleum,The concert was not crowded,The concert be as crowd as a mausoleum ,The concert be not crowd ,1,X213,X213_1,as-as,not,0,neg,TRUE
The auditor was as impartial as a shady bookie,The auditor was not impartial,The auditor be as impartial as a shady bookie ,The auditor be not impartial ,0,X214,X214_0,as-as,not,0,neg,TRUE
The auditor was as impartial as a judge,The auditor was impartial,The auditor be as impartial as a judge ,The auditor be impartial ,1,X214,X214_1,as-as,0,not,aff,FALSE
She has as much Hollywood in her as Warner Bros,She has much Hollywood in her,She have as much Hollywood in her as Warner Bros ,She have much Hollywood in her ,0,X215,X215_0,as-as,0,as as,aff,FALSE
She has as much Hollywood in her as a dead dog,She has no Hollywood in her,She have as much Hollywood in her as a dead dog ,She have no Hollywood in her ,1,X215,X215_1,as-as,as as,0,aff,FALSE
The girl's personality was a seesaw,The girl's personality was volatile.,The girl personality be a seesaw ,The girl personality be volatile . ,0,X216,X216_0,,0,0,aff,FALSE
The girl's personality was a balance beam,The girl's personality was stable.,The girl personality be a balance beam ,The girl personality be stable . ,1,X216,X216_1,,0,0,aff,FALSE
The child had the generosity of gold,The child was very generous.,The child have the generosity of gold ,The child be very generous . ,0,X217,X217_0,the-of,0,0,aff,FALSE
The child had the generosity of a penny,The child was very stingy.,The child have the generosity of a penny ,The child be very stingy . ,1,X217,X217_1,the-of,0,0,aff,FALSE
The kids are little angels.,The kids are well-behaved.,The kid be little angel . ,The kid be well behave . ,0,X218,X218_0,,0,0,aff,FALSE
The kids are little devils.,The kids are badly behaved.,The kid be little devil . ,The kid be badly behave . ,1,X218,X218_1,,0,0,aff,FALSE
The teacher rules with an iron fist.,The teacher is strict.,The teacher rule with an iron fist . ,The teacher be strict . ,0,X219,X219_0,,0,0,aff,FALSE
The teacher rules with a feather touch.,The teacher is lenient.,The teacher rule with a feather touch . ,The teacher be lenient . ,1,X219,X219_1,,0,0,aff,FALSE
That Halloween costume could make a grown man cry.,That Halloween costume is frightening.,That Halloween costume could make a grown man cry . ,That Halloween costume be frighten . ,0,X220,X220_0,,0,0,aff,FALSE
That Halloween costume could barely scare a baby.,The Halloween costumer is not frightening.,That Halloween costume could barely scare a baby . ,The Halloween costumer be not frighten . ,1,X220,X220_1,,0,0,neg,TRUE
The party was as fun as working a double shift.,The party was fun.,The party be as fun as work a double shift . ,The party be fun . ,0,X221,X221_0,as-as,0,not,aff,FALSE
The party was as fun as a roller coaster.,The party was not fun.,The party be as fun as a roller coaster . ,The party be not fun . ,1,X221,X221_1,as-as,not,0,neg,TRUE
Christmas day is coming as fast as a bullet train.,Christmas day is coming quickly.,Christmas day be come as fast as a bullet train . ,Christmas day be come quickly . ,0,X222,X222_0,as-as,0,0,aff,FALSE
Christmas day is coming as fast as a snail.,Christmas day is taking forever to come.,Christmas day be come as fast as a snail . ,Christmas day be take forever to come . ,1,X222,X222_1,as-as,0,0,aff,FALSE
The new tv was as big as the room.,The tv was big.,The new tv be as big as the room . ,The tv be big . ,0,X223,X223_0,as-as,0,as as,aff,FALSE
The new tv was as big as a bottle cap.,The tv was small.,The new tv be as big as a bottle cap . ,The tv be small . ,1,X223,X223_1,as-as,as as,0,aff,FALSE
She was creeping as fast as a sloth,She was creeping as fast,She be creep as fast as a sloth ,She be creep as fast ,0,X224,X224_0,as-as,0,0,aff,FALSE
She was creeping as fast as a bullet,She was creeping as fast,She be creep as fast as a bullet ,She be creep as fast ,1,X224,X224_1,as-as,0,0,aff,FALSE
